Drop Off Location,Stake,Route Number/Name,Donation Bags Collected,Completed More Than One Route,Ward_x,Neighbourhood,Latitude,Longitude,Point Location
Riverbend Stake Centre,Riverbend Stake,50,15,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Bearspaw Chapel,Gateway Stake,32,30,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Riverbend Stake Centre,Riverbend Stake,Blue quill estate 2,25,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Londonberry Chapel,Bonnie Doon Stake,120,25,No,Clareview Ward,CLAREVIEW,53.59117,-113.38122,
Gateway Stake Centre,Gateway Stake,27,25,No,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Gateway Stake Centre,Gateway Stake,4,25,No,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Gateway Stake Centre,Gateway Stake,12,46,No,Ellerslie Ward,ELLERSLIE,53.43159314,-113.44636,POINT (-113.44636001041329 53.43159314034627)
Edmonton North Stake Centre,Edmonton North Stake,6-2.1 197,18,No,Namao Ward,NAMAO,53.54445,-113.49091,
Riverbend Stake Centre,Riverbend Stake,Sweet grass 3,49,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Bonnie Doon Stake Centre,Bonnie Doon Stake,77,30,No,Forest Heights Ward,FOREST HEIGHTS,53.5505674,-113.4548124,POINT (-113.45481240720615 53.55056740256592)
Bearspaw Chapel,Gateway Stake,1,45,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Gateway Stake Centre,Gateway Stake,66,25,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
