dependents_qty,primary_client_key,house_number,distance_km,month,week_of_month,broad_area_encoded,requests_per_household,Average household size,Couple-family households with children,Multigenerational households,One-parent families in which the parent is a man+,One-parent families in which the parent is a woman+,Persons not in census families - Living alone,Total one-parent families
0.04283887468030691,0.0,0.039129462040748,0.051356482961871446,0.03962738429690965,0.043708070746086604,0.045676546901179504,0.0466804597465128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004901960784313725,0.0,0.004039666433685725,0.004975166523463818,0.003844447730297205,0.002642813579995934,0.004912472744976577,0.0015311658551580443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008098891730605287,0.0,0.02340474484868618,0.020042665583648495,0.0016264971166642021,0.015653588127668226,0.01984371976811273,0.027769282418486828,26.0,5265.0,195.0,585.0,1950.0,13000.0,2535.0
0.03218243819266837,0.0,0.05000529172360824,0.04133923706979017,0.02779831435753364,0.03069729619841431,0.03251090617309108,0.021739631676217678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.040707587382779194,0.0,0.01879355412744012,0.07286961748887592,0.028094041106018038,0.051839804838381784,0.053576324369976086,0.09417218159289452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024722932651321396,0.016795058643903116,0.04127907171831743,0.05251965562762531,0.013455567056040217,0.012400894490750151,0.04943513057961033,0.06668793720949678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.036018755328218244,0.0,0.06614518476277435,0.037135724270190476,0.014194883927251219,0.03964220369993901,0.0395013036811953,0.04686683076945566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04965899403239556,0.0,0.057264520793390346,0.06698750802364714,0.04007097441963625,0.015653588127668226,0.07046467667535462,0.12349455586923856,130.0,54860.0,5850.0,3510.0,11310.0,148200.0,14690.0
0.010017050298380221,0.0,0.0022070160365071797,0.01705749111286509,0.004140174478781605,0.0022362268753811747,0.010051821389459857,0.003924754483149737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010656436487638532,0.0,0.0013244272763457778,0.0008675533116311298,0.0003696584356055005,0.0,0.0008187454574960962,0.00027042069995631334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027919863597612955,0.0,0.06834149945590924,0.047874065266680935,0.013233771994676917,0.024598495629192925,0.04962601106788582,0.05170516869840375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004262574595055414,0.0,0.0,0.0017613340111211986,0.000739316871211001,0.0012197601138442774,0.004783170071373068,0.0017686975510656172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04454390451832907,0.0,0.07251366303083992,0.10410118825281811,0.09019665828774212,0.08274039438910347,0.08415334968224643,0.1278158055678648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.030244985772780904,1.0,1.0,0.9999999999999998,0.9999999999999999,1.0,1.0,204.0,42300.0,2670.0,4860.0,15150.0,57780.0,19695.0
0.013640238704177323,0.0,0.015116645096204624,0.007532193429612529,0.0016264971166642021,0.0024395202276885544,0.01064369094744925,0.0036835684534589712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01214833759590793,0.0,7.128182958146956e-05,0.007101703787657694,0.005914534969688008,0.009554787558446838,0.009006200032457059,0.0023655720689872094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000639386189258312,0.02029287251023666,0.0,0.0,0.0,0.00020329335230737954,0.0,0.00033437154116219825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0632992327365729,0.0,0.05868761808320259,0.06867181262881972,0.006062398343930207,0.017279934946127264,0.06951077704703375,0.051635736356523076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09505541346973573,0.0,0.10963916249110224,0.09408129088361329,0.09241460890137512,0.04614759097377516,0.09111772152444308,0.1051656357240014,60.0,14935.0,1815.0,2500.0,7440.0,25815.0,9790.0
0.018329070758738276,0.0,0.01834754390112757,0.03877208286654974,0.010794026319680614,0.04045537710916853,0.03967501086843286,0.045858234645294274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06415174765558398,0.0,0.025132739735257835,0.0888949326083559,0.07955049534230371,0.054685911770685096,0.07313170445453512,0.09395292156590292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29305200341005966,0.0,0.27809290815626464,0.3324539445006631,0.34696140765932276,0.34702175238869687,0.3356959312858736,0.4736047035800204,102.0,25360.0,2820.0,3955.0,11940.0,40965.0,15640.0
0.03836317135549872,0.0,0.02518860437523517,0.025251157806382846,0.0027354724234807037,0.03313681642610287,0.031462257650217165,0.02566804049315061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0552003410059676,0.0,0.00993982489518805,0.029163243807449155,0.0035487209818128047,0.026224842447651962,0.02177894634382969,0.0038379640557988934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002557544757033248,0.0,0.01584406437746794,0.008291291940049031,0.0035487209818128047,0.007725147387680422,0.01064369094744925,0.0185055462780915,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12468030690537085,0.0,0.10858943325776191,0.15038779371706135,0.011681206565133814,0.06566375279528358,0.13170463105307162,0.10221537024970324,39.0,9555.0,1430.0,650.0,2730.0,5525.0,3250.0
0.12617220801364024,0.0,0.10634596010230847,0.16759938817539827,0.151412095224013,0.03455986989225452,0.13880593224527382,0.11381970717823398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
